serial_no,description,quantity,amount,remarks
1,ছোট খামের চিঠি,0-500 গ্রাম,25,বড় পলি প্যাকেট
2,বড় খামের চিঠি,0-500 গ্রাম,35,
3,ছোট পলি প্যাকেট,কন্টিনেন্টাল এর লোগো সম্বলিত পলি,95,
4,মাঝারি পলি প্যাকেট,কন্টিনেন্টাল এর লোগো সম্বলিত পলি,150,
5,বড় পলি প্যাকেট,কন্টিনেন্টাল এর লোগো সম্বলিত পলি,210,
6,ট্রান্সপোর্ট ও মালামালের ক্ষেত্রে পাটের বস্তা,সর্বোচ্চ 60 কেজি ওজন পর্যন্ত,370,সর্বোচ্চ 60 কেজি ওজনের মালামাল
7,প্লাস্টিক বস্তা,সর্বোচ্চ 40 কেজি ওজন পর্যন্ত,300,সর্বোচ্চ 40 কেজি ওজনের মালামাল
8,মোবাইল সেট,120 টাকা প্রতি পিস,120,শুধুমাত্র জেলা পর্যায়ে প্রেরণের জন্য
9,এল.সি.ডি মনিটর,1 টি,250,
10,সি.পি.ইউ,1 টি,250,
11,প্রিন্টার,1 টি,250,
12,ইউ.পি.এস,1 টি,150,
13,ল্যাপটপ ব্যাগসহ,1 টি,350,
14,টেলিভিশন,1 টি,200,
15,ফ্রিজ (প্রতি সি.এফ.টি),1 টি,150,
16,খাট (ডাবল),1 টি,2000,
17,খাট (সিঙ্গেল),1 টি,1200,
18,স্টিলের আলমারি (ছোট),1 টি,1800,
19,স্টিলের আলমারি (বড়),1 টি,2500,
20,মোটর সাইকেল (80 সি.সি),1 টি,2200,
21,মোটর সাইকেল (100 সি.সি),1 টি,2500,
22,কার্টন (0-5 কেজি পর্যন্ত),1 টি,150,জেলা/উপজেলা পর্যায়ে পৌঁছানো প্রযোজ্য
23,কার্টন (5-7.5 কেজি পর্যন্ত),1 টি,200,
24,কার্টন (7.5-10 কেজি পর্যন্ত),1 টি,220,
25,কার্টন (10-12 কেজি পর্যন্ত),1 টি,250,
26,কার্টন (12-15 কেজি পর্যন্ত),1 টি,280,
27,কার্টন (15-20 কেজি পর্যন্ত),1 টি,320,
